Group,tree,leafarea,sapwood,mass,huber,lma,position,canopy
High Exposed,1,0.002774875,0.033,1.042,0.001189243,375.5124105,high,exposed
High Exposed,2,0.006866111,0.0415,2.448,0.000604418,356.5337059,high,exposed
High Exposed,3,0.001858628,0.0189,0.585,0.001016879,314.7482982,high,exposed
High Exposed,4,0.00976095,0.0434,2.705,0.000444629,277.1246651,high,exposed
High Exposed,5,0.006071223,0.0363,2.333,0.000597903,384.2718345,high,exposed
Low Closed Canopy,6,0.003903091,0.0057,0.592,0.000146038,151.6746599,low,closed
Low Closed Canopy,7,0.008841082,0.0214,1.849,0.000242052,209.1372979,low,closed
Low Closed Canopy,8,0.004134833,0.0079,0.683,0.00019106,165.1820037,low,closed
Low Closed Canopy,9,0.007993783,0.0177,1.43,0.000221422,178.8890191,low,closed
Low Closed Canopy,10,0.007894711,0.0154,1.308,0.000195067,165.6805423,low,closed
High Closed Canopy,11,0.007268337,0.0214,1.286,0.000294428,176.9318071,high,closed
High Closed Canopy,12,0.014522993,0.0346,2.345,0.000238243,161.4680941,high,closed
High Closed Canopy,13,0.014853902,0.0398,3.153,0.000267943,212.2674567,high,closed
High Closed Canopy,14,0.008380643,0.0284,1.631,0.000338876,194.6151387,high,closed
High Closed Canopy,15,0.00829399,0.0165,1.579,0.000198939,190.3788165,high,closed
